Time,Alameda
2017-03-21,
2017-03-22,
2017-03-23,
2017-03-24,
2017-03-25,
2017-03-26,
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,
2017-04-23,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,344.0
2017-05-26,289.0
2017-05-27,221.0
2017-05-28,203.0
2017-05-29,308.0
2017-05-30,272.0
2017-05-31,299.0
2017-06-01,278.0
2017-06-02,250.0
2017-06-03,182.0
2017-06-04,138.0
2017-06-05,329.0
2017-06-06,283.0
2017-06-07,191.0
2017-06-08,173.0
2017-06-09,277.0
2017-06-10,220.0
2017-06-11,144.0
2017-06-12,320.0
2017-06-13,268.0
2017-06-14,234.0
2017-06-15,297.0
2017-06-16,77.0
2017-06-17,118.0
2017-06-18,100.0
2017-06-19,251.0
2017-06-20,247.0
2017-06-21,293.0
2017-06-22,90.0
2017-06-23,238.0
2017-06-24,200.0
2017-06-25,117.0
2017-06-26,89.0
2017-06-27,247.0
2017-06-28,269.0
2017-06-29,278.0
2017-06-30,310.0
2017-07-01,238.0
2017-07-02,147.0
2017-07-03,226.0
2017-07-04,150.0
2017-07-05,266.0
2017-07-06,246.0
2017-07-07,233.0
2017-07-08,197.0
2017-07-09,144.0
2017-07-10,266.0
2017-07-11,267.0
2017-07-12,309.0
2017-07-13,148.0
2017-07-14,263.0
2017-07-15,82.0
2017-07-16,131.0
2017-07-17,253.0
2017-07-18,296.0
2017-07-19,281.0
2017-07-20,272.0
2017-07-21,295.0
2017-07-22,190.0
2017-07-23,166.0
2017-07-24,300.0
2017-07-25,325.0
2017-07-26,344.0
2017-07-27,313.0
2017-07-28,332.0
2017-07-29,223.0
2017-07-30,173.0
2017-07-31,296.0
2017-08-01,291.0
2017-08-02,340.0
2017-08-03,311.0
2017-08-04,252.0
2017-08-05,187.0
2017-08-06,168.0
2017-08-07,282.0
2017-08-08,328.0
2017-08-09,265.0
2017-08-10,94.0
2017-08-11,77.0
2017-08-12,197.0
2017-08-13,92.0
2017-08-14,235.0
2017-08-15,195.0
2017-08-16,345.0
2017-08-17,355.0
2017-08-18,234.0
2017-08-19,188.0
2017-08-20,177.0
2017-08-21,367.0
2017-08-22,344.0
2017-08-23,229.0
2017-08-24,312.0
2017-08-25,292.0
2017-08-26,208.0
2017-08-27,176.0
2017-08-28,256.0
2017-08-29,303.0
2017-08-30,353.0
2017-08-31,312.0
2017-09-01,290.0
2017-09-02,238.0
2017-09-03,189.0
2017-09-04,341.0
2017-09-05,348.0
2017-09-06,342.0
2017-09-07,364.0
2017-09-08,338.0
2017-09-09,227.0
2017-09-10,126.0
2017-09-11,332.0
2017-09-12,330.0
2017-09-13,316.0
2017-09-14,278.0
2017-09-15,340.0
2017-09-16,207.0
2017-09-17,159.0
2017-09-18,79.0
2017-09-19,118.0
2017-09-20,369.0
2017-09-21,397.0
2017-09-22,423.0
2017-09-23,327.0
2017-09-24,391.0
2017-09-25,361.0
2017-09-26,421.0
2017-09-27,456.0
2017-09-28,392.0
2017-09-29,378.0
2017-09-30,66.0
2017-10-01,196.0
2017-10-02,401.0
2017-10-03,394.0
2017-10-04,231.0
2017-10-05,319.0
2017-10-06,348.0
2017-10-07,249.0
2017-10-08,249.0
2017-10-09,310.0
2017-10-10,393.0
2017-10-11,436.0
2017-10-12,442.0
2017-10-13,448.0
2017-10-14,321.0
2017-10-15,279.0
2017-10-16,468.0
2017-10-17,415.0
2017-10-18,456.0
2017-10-19,463.0
2017-10-20,426.0
2017-10-21,545.0
2017-10-22,298.0
2017-10-23,489.0
2017-10-24,486.0
2017-10-25,485.0
2017-10-26,482.0
2017-10-27,364.0
2017-10-28,329.0
2017-10-29,271.0
2017-10-30,482.0
2017-10-31,461.0
2017-11-01,224.0
2017-11-02,227.0
2017-11-03,406.0
2017-11-04,309.0
2017-11-05,293.0
2017-11-06,455.0
2017-11-07,491.0
2017-11-08,510.0
2017-11-09,492.0
2017-11-10,485.0
2017-11-11,387.0
2017-11-12,257.0
2017-11-13,492.0
2017-11-14,530.0
2017-11-15,482.0
2017-11-16,482.0
2017-11-17,449.0
2017-11-18,377.0
2017-11-19,375.0
2017-11-20,502.0
2017-11-21,498.0
2017-11-22,510.0
2017-11-23,510.0
2017-11-24,535.0
2017-11-25,366.0
2017-11-26,302.0
2017-11-27,543.0
2017-11-28,566.0
2017-11-29,575.0
2017-11-30,524.0
2017-12-01,452.0
2017-12-02,332.0
2017-12-03,280.0
2017-12-04,520.0
2017-12-05,537.0
2017-12-06,545.0
2017-12-07,471.0
2017-12-08,298.0
2017-12-09,339.0
2017-12-10,270.0
2017-12-11,515.0
2017-12-12,523.0
2017-12-13,585.0
2017-12-14,556.0
2017-12-15,473.0
2017-12-16,350.0
2017-12-17,343.0
2017-12-18,544.0
2017-12-19,557.0
2017-12-20,518.0
2017-12-21,506.0
2017-12-22,462.0
2017-12-23,345.0
2017-12-24,248.0
2017-12-25,227.0
2017-12-26,621.0
2017-12-27,567.0
2017-12-28,584.0
2017-12-29,467.0
2017-12-30,404.0
2017-12-31,254.0
2018-01-01,165.0
2018-01-02,612.0
2018-01-03,617.0
2018-01-04,592.0
2018-01-05,530.0
2018-01-06,411.0
2018-01-07,310.0
2018-01-08,568.0
2018-01-09,581.0
2018-01-10,589.0
2018-01-11,560.0
2018-01-12,539.0
2018-01-13,449.0
2018-01-14,394.0
2018-01-15,567.0
2018-01-16,593.0
2018-01-17,571.0
2018-01-18,609.0
2018-01-19,560.0
2018-01-20,433.0
2018-01-21,380.0
2018-01-22,604.0
2018-01-23,640.0
2018-01-24,646.0
2018-01-25,639.0
2018-01-26,556.0
2018-01-27,486.0
2018-01-28,377.0
2018-01-29,642.0
2018-01-30,667.0
2018-01-31,669.0
2018-02-01,585.0
2018-02-02,537.0
2018-02-03,436.0
2018-02-04,362.0
2018-02-05,573.0
2018-02-06,600.0
2018-02-07,575.0
2018-02-08,595.0
2018-02-09,549.0
2018-02-10,452.0
2018-02-11,325.0
2018-02-12,615.0
2018-02-13,620.0
2018-02-14,568.0
2018-02-15,540.0
2018-02-16,514.0
2018-02-17,395.0
2018-02-18,339.0
2018-02-19,579.0
2018-02-20,537.0
2018-02-21,573.0
2018-02-22,579.0
2018-02-23,562.0
2018-02-24,436.0
2018-02-25,343.0
2018-02-26,658.0
2018-02-27,633.0
2018-02-28,619.0
2018-03-01,670.0
2018-03-02,572.0
2018-03-03,433.0
2018-03-04,339.0
2018-03-05,645.0
2018-03-06,634.0
2018-03-07,688.0
2018-03-08,707.0
2018-03-09,654.0
2018-03-10,494.0
2018-03-11,378.0
2018-03-12,711.0
2018-03-13,638.0
2018-03-14,658.0
2018-03-15,692.0
2018-03-16,666.0
2018-03-17,422.0
2018-03-18,324.0
2018-03-19,687.0
2018-03-20,732.0
2018-03-21,684.0
2018-03-22,749.0
2018-03-23,661.0
2018-03-24,490.0
2018-03-25,423.0
2018-03-26,721.0
2018-03-27,769.0
2018-03-28,757.0
2018-03-29,705.0
2018-03-30,438.0
2018-03-31,383.0
2018-04-01,417.0
2018-04-02,801.0
2018-04-03,810.0
2018-04-04,771.0
2018-04-05,705.0
2018-04-06,626.0
2018-04-07,457.0
2018-04-08,417.0
2018-04-09,788.0
2018-04-10,772.0
2018-04-11,663.0
2018-04-12,745.0
2018-04-13,664.0
2018-04-14,614.0
2018-04-15,396.0
2018-04-16,745.0
2018-04-17,693.0
2018-04-18,728.0
2018-04-19,711.0
2018-04-20,710.0
2018-04-21,530.0
2018-04-22,432.0
2018-04-23,733.0
2018-04-24,711.0
2018-04-25,775.0
2018-04-26,743.0
2018-04-27,722.0
2018-04-28,510.0
2018-04-29,359.0
2018-04-30,578.0
2018-05-01,372.0
2018-05-02,691.0
2018-05-03,705.0
2018-05-04,695.0
2018-05-05,577.0
2018-05-06,469.0
2018-05-07,797.0
2018-05-08,870.0
2018-05-09,755.0
2018-05-10,744.0
2018-05-11,709.0
2018-05-12,537.0
2018-05-13,383.0
2018-05-14,691.0
2018-05-15,689.0
2018-05-16,650.0
2018-05-17,750.0
2018-05-18,704.0
2018-05-19,498.0
2018-05-20,406.0
2018-05-21,424.0
