Time,San Juan con Escrivá de Balaguer
4/30/2020,899
5/1/2020,1097
5/2/2020,951
5/3/2020,950
5/4/2020,1169
5/5/2020,1215
5/6/2020,1282
5/7/2020,1233
5/8/2020,1308
5/9/2020,1114
5/10/2020,828
5/11/2020,1128
5/12/2020,1058
5/13/2020,1151
5/14/2020,1083
5/15/2020,1078
5/16/2020,1147
5/17/2020,1074
5/18/2020,1014
5/19/2020,842
5/20/2020,396
5/21/2020,797
5/22/2020,951
5/23/2020,950
5/24/2020,963
5/25/2020,1014
5/26/2020,1078
5/27/2020,854
5/28/2020,778
5/29/2020,709
5/30/2020,839
5/31/2020,734
6/1/2020,998
6/2/2020,704
6/3/2020,642
6/4/2020,960
6/5/2020,984
6/6/2020,930
6/7/2020,854
6/8/2020,835
6/9/2020,887
6/10/2020,986
6/11/2020,741
6/12/2020,375
6/13/2020,785
6/14/2020,859
6/15/2020,745
6/16/2020,829
6/17/2020,108
6/18/2020,564
6/19/2020,88
6/20/2020,137
6/21/2020,162
6/22/2020,92
6/23/2020,105
6/24/2020,83
6/25/2020,172
6/26/2020,228
6/27/2020,256
6/28/2020,189
6/29/2020,60
6/30/2020,217
7/1/2020,105
7/2/2020,260
7/3/2020,282
7/4/2020,70
7/5/2020,170
7/6/2020,282
7/7/2020,380
7/8/2020,123
7/9/2020,359
7/10/2020,402
7/11/2020,354
7/12/2020,274
7/13/2020,564
7/14/2020,573
7/15/2020,418
7/16/2020,337
7/17/2020,423
7/18/2020,305
7/19/2020,377
7/20/2020,495
7/21/2020,95
7/22/2020,450
7/23/2020,498
7/24/2020,568
7/25/2020,450
7/26/2020,353
7/27/2020,523
7/28/2020,598
7/29/2020,608
7/30/2020,625
7/31/2020,636
8/1/2020,460
8/2/2020,500
8/3/2020,607
8/4/2020,690
8/5/2020,364
8/6/2020,641
8/7/2020,635
8/8/2020,610
8/9/2020,430
8/10/2020,1079
8/11/2020,1055
8/12/2020,1114
8/13/2020,1166
8/14/2020,1035
8/15/2020,460
8/16/2020,461
8/17/2020,1146
8/18/2020,1013
8/19/2020,1219
8/20/2020,1209
8/21/2020,1275
8/22/2020,555
8/23/2020,474
8/24/2020,1282
8/25/2020,694
8/26/2020,1171
8/27/2020,1393
8/28/2020,1099
8/29/2020,574
8/30/2020,521
8/31/2020,1290
9/1/2020,960
9/2/2020,1327
9/3/2020,1362
9/4/2020,1249
9/5/2020,686
9/6/2020,662
9/7/2020,1535
9/8/2020,974
9/9/2020,1530
9/10/2020,1486
9/11/2020,1662
9/12/2020,756
9/13/2020,719
9/14/2020,1667
9/15/2020,1464
9/16/2020,1331
9/17/2020,1447
9/18/2020,518
9/19/2020,582
9/20/2020,734
9/21/2020,1704
9/22/2020,1774
9/23/2020,1818
9/24/2020,1753
9/25/2020,1248
9/26/2020,949
9/27/2020,1041
9/28/2020,1839
9/29/2020,1694
9/30/2020,1455
10/1/2020,1598
10/2/2020,1584
10/3/2020,882
10/4/2020,984
10/5/2020,1881
10/6/2020,1836
10/7/2020,1857
10/8/2020,1536
10/9/2020,1858
10/10/2020,1086
10/11/2020,1156
10/12/2020,1503
10/13/2020,1778
10/14/2020,1892
10/15/2020,1951
10/16/2020,2024
10/17/2020,1236
10/18/2020,1426
10/19/2020,1946
10/20/2020,2146
10/21/2020,2105
10/22/2020,2265
10/23/2020,2172
10/24/2020,937
10/25/2020,1344
