Time,República de Chile con San Joaquín
4/29/2020,16
4/30/2020,12
5/1/2020,7
5/2/2020,5
5/3/2020,9
5/4/2020,6
5/5/2020,10
5/6/2020,2
5/7/2020,4
5/8/2020,9
5/9/2020,5
5/10/2020,8
5/11/2020,2
5/12/2020,6
5/13/2020,5
5/14/2020,7
5/15/2020,8
5/16/2020,4
5/17/2020,4
5/18/2020,7
5/19/2020,9
5/20/2020,3
5/21/2020,3
5/22/2020,7
5/23/2020,5
5/24/2020,3
5/25/2020,18
5/26/2020,8
5/27/2020,21
5/28/2020,2
5/29/2020,4
5/30/2020,4
5/31/2020,13
6/1/2020,14
6/2/2020,14
6/3/2020,10
6/4/2020,2
6/5/2020,10
6/6/2020,5
6/7/2020,5
6/8/2020,12
6/9/2020,4
6/10/2020,3
6/11/2020,13
6/12/2020,3
6/13/2020,1
6/14/2020,5
6/15/2020,4
6/16/2020,7
6/17/2020,6
6/18/2020,5
6/19/2020,1
6/20/2020,2
6/21/2020,1
6/22/2020,1
6/23/2020,16
6/24/2020,1
6/25/2020,4
6/26/2020,1
6/27/2020,5
6/28/2020,3
6/29/2020,5
6/30/2020,2
7/1/2020,4
7/2/2020,2
7/3/2020,4
7/4/2020,3
7/5/2020,8
7/6/2020,4
7/7/2020,6
7/8/2020,2
7/9/2020,3
7/10/2020,9
7/11/2020,4
7/12/2020,4
7/13/2020,1
7/14/2020,12
7/15/2020,10
7/16/2020,6
7/17/2020,5
7/18/2020,0
7/19/2020,4
7/20/2020,3
7/21/2020,1
7/22/2020,4
7/23/2020,4
7/24/2020,10
7/25/2020,2
7/26/2020,1
7/27/2020,19
7/28/2020,60
7/29/2020,22
7/30/2020,4
7/31/2020,6
8/1/2020,7
8/2/2020,7
8/3/2020,19
8/4/2020,17
8/5/2020,6
8/6/2020,17
8/7/2020,21
8/8/2020,6
8/9/2020,27
8/10/2020,14
8/11/2020,7
8/12/2020,44
8/13/2020,17
8/14/2020,19
8/15/2020,4
8/16/2020,2
8/17/2020,16
8/18/2020,11
8/19/2020,14
8/20/2020,50
8/21/2020,14
8/22/2020,7
8/23/2020,16
8/24/2020,3
8/25/2020,9
8/26/2020,10
8/27/2020,2
8/28/2020,9
8/29/2020,4
8/30/2020,5
8/31/2020,7
9/1/2020,6
9/2/2020,13
9/3/2020,14
9/4/2020,8
9/5/2020,7
9/6/2020,18
9/7/2020,9
9/8/2020,5
9/9/2020,7
9/10/2020,60
9/11/2020,9
9/12/2020,3
9/13/2020,15
9/14/2020,10
9/15/2020,25
9/16/2020,24
9/17/2020,7
9/18/2020,5
9/19/2020,3
9/20/2020,2
9/21/2020,13
9/22/2020,41
9/23/2020,24
