Time,Alameda,Cabello,República de Chile con San Joaquín,San Juan con Escrivá de Balaguer,
2017-03-21 00:00:00,,,,,
2017-03-22 00:00:00,,159,,,
2017-03-23 00:00:00,,203,,,
2017-03-24 00:00:00,,207,,,
2017-03-25 00:00:00,,132,,,
2017-03-26 00:00:00,,86,,,
2017-03-27 00:00:00,,236,,,
2017-03-28 00:00:00,,283,,,
2017-03-29 00:00:00,,221,,,
2017-03-30 00:00:00,,280,,,
2017-03-31 00:00:00,,222,,,
2017-04-01 00:00:00,,109,,,
2017-04-02 00:00:00,,83,,,
2017-04-03 00:00:00,,221,,,
2017-04-04 00:00:00,,256,,,
2017-04-05 00:00:00,,262,,,
2017-04-06 00:00:00,,243,,,
2017-04-07 00:00:00,,209,,,
2017-04-08 00:00:00,,115,,,
2017-04-09 00:00:00,,70,,,
2017-04-10 00:00:00,,258,,,
2017-04-11 00:00:00,,214,,,
2017-04-12 00:00:00,,214,,,
2017-04-13 00:00:00,,215,,,
2017-04-14 00:00:00,,99,,,
2017-04-15 00:00:00,,78,,,
2017-04-16 00:00:00,,91,,,
2017-04-17 00:00:00,,243,,,
2017-04-18 00:00:00,,220,,,
2017-04-19 00:00:00,,81,,,
2017-04-20 00:00:00,,146,,,
2017-04-21 00:00:00,,217,,,
2017-04-22 00:00:00,,105,,,
2017-04-23 00:00:00,,90,,,
2017-04-24 00:00:00,,237,,,
2017-04-25 00:00:00,,189,,,
2017-04-26 00:00:00,,198,,,
2017-04-27 00:00:00,,234,,,
2017-04-28 00:00:00,,202,,,
2017-04-29 00:00:00,,121,,,
2017-04-30 00:00:00,,109,,,
2017-05-01 00:00:00,,62,,,
2017-05-02 00:00:00,,249,,,
2017-05-03 00:00:00,,259,,,
2017-05-04 00:00:00,,244,,,
2017-05-05 00:00:00,,234,,,
2017-05-06 00:00:00,,167,,,
2017-05-07 00:00:00,,36,,,
2017-05-08 00:00:00,,211,,,
2017-05-09 00:00:00,,256,,,
2017-05-10 00:00:00,,302,,,
2017-05-11 00:00:00,,90,,,
2017-05-12 00:00:00,,281,,,
2017-05-13 00:00:00,,140,,,
2017-05-14 00:00:00,,49,,,
2017-05-15 00:00:00,,235,,,
2017-05-16 00:00:00,,251,,,
2017-05-17 00:00:00,,149,,,
2017-05-18 00:00:00,,219,,,
2017-05-19 00:00:00,,198,,,
2017-05-20 00:00:00,,148,,,
2017-05-21 00:00:00,,105,,,
2017-05-22 00:00:00,,250,,,
2017-05-23 00:00:00,,257,,,
2017-05-24 00:00:00,,247,,,
2017-05-25 00:00:00,344,233,,,
2017-05-26 00:00:00,289,235,,,
2017-05-27 00:00:00,221,184,,,
2017-05-28 00:00:00,203,105,,,
2017-05-29 00:00:00,308,245,,,
2017-05-30 00:00:00,272,279,,,
2017-05-31 00:00:00,299,217,,,
2017-06-01 00:00:00,278,227,,,
2017-06-02 00:00:00,250,266,,,
2017-06-03 00:00:00,182,176,,,
2017-06-04 00:00:00,138,108,,,
2017-06-05 00:00:00,329,280,,,
2017-06-06 00:00:00,283,267,,,
2017-06-07 00:00:00,191,109,,,
2017-06-08 00:00:00,173,276,,,
2017-06-09 00:00:00,277,277,,,
2017-06-10 00:00:00,220,196,,,
2017-06-11 00:00:00,144,108,,,
2017-06-12 00:00:00,320,272,,,
2017-06-13 00:00:00,268,240,,,
2017-06-14 00:00:00,234,247,,,
2017-06-15 00:00:00,297,229,,,
2017-06-16 00:00:00,77,71,,,
2017-06-17 00:00:00,118,121,,,
2017-06-18 00:00:00,100,80,,,
2017-06-19 00:00:00,251,225,,,
2017-06-20 00:00:00,247,235,,,
2017-06-21 00:00:00,293,240,,,
2017-06-22 00:00:00,90,53,,,
2017-06-23 00:00:00,238,195,,,
2017-06-24 00:00:00,200,133,,,
2017-06-25 00:00:00,117,17,,,
2017-06-26 00:00:00,89,81,,,
2017-06-27 00:00:00,247,230,,,
